Designator,Mid X,Mid Y,Rotation,Layer
C1,101.6,-30.975,90.0,top
C10,85.6,-30.975,90.0,bottom
C11,81.6,-30.975,90.0,top
C12,81.6,-30.975,90.0,bottom
C13,77.6,-30.975,90.0,top
C14,77.6,-30.975,90.0,bottom
C15,73.6,-30.975,90.0,top
C16,73.6,-30.975,90.0,bottom
C17,69.6,-30.975,90.0,top
C2,101.6,-30.975,90.0,bottom
C3,97.6,-30.975,90.0,top
C4,97.6,-30.975,90.0,bottom
C5,93.6,-30.975,90.0,top
C6,93.6,-30.975,90.0,bottom
C7,89.6,-30.975,90.0,top
C8,89.6,-30.975,90.0,bottom
C9,85.6,-30.975,90.0,top
J1,86.6,-18.0965,0.0,top
J2,86.6,-46.905128,0.0,top
JP1,62.025,-28.615,180.0,top
R1,102.6,-34.975,90.0,top
R10,84.6,-34.975,90.0,bottom
R11,82.6,-34.975,90.0,top
R12,80.6,-34.975,90.0,bottom
R13,78.6,-34.975,90.0,top
R14,76.6,-34.975,90.0,bottom
R15,74.6,-34.975,90.0,top
R16,72.6,-34.975,90.0,bottom
R17,70.6,-34.975,90.0,top
R18,103.6,-30.975,270.0,top
R19,99.6,-30.975,270.0,bottom
R2,100.6,-34.975,90.0,bottom
R20,99.6,-30.975,270.0,top
R21,95.6,-30.975,270.0,bottom
R22,95.6,-30.975,270.0,top
R23,91.6,-30.975,270.0,bottom
R24,91.6,-30.975,270.0,top
R25,87.6,-30.975,270.0,bottom
R26,87.6,-30.975,270.0,top
R27,83.6,-30.975,270.0,bottom
R28,83.6,-30.975,270.0,top
R29,79.6,-30.975,270.0,bottom
R3,98.6,-34.975,90.0,top
R30,79.6,-30.975,270.0,top
R31,75.6,-30.975,270.0,bottom
R32,75.6,-30.975,270.0,top
R33,71.6,-30.975,270.0,bottom
R34,71.6,-30.975,270.0,top
R4,96.6,-34.975,90.0,bottom
R5,94.6,-34.975,90.0,top
R6,92.6,-34.975,90.0,bottom
R7,90.6,-34.975,90.0,top
R8,88.6,-34.975,90.0,bottom
R9,86.6,-34.975,90.0,top
